model,accuracy,precision,recall,f1_score,roc_auc,confusion_matrix
LogisticRegression,0.8927855711422845,0.889763779527559,0.8986083499005965,0.8941641938674579,0.9552342510593007,"[[439, 56], [51, 452]]"
RandomForest,0.966933867735471,0.9835390946502057,0.9502982107355865,0.9666329625884732,0.9970460067875575,"[[487, 8], [25, 478]]"
XGBoost,0.9919839679358717,0.9979879275653923,0.9860834990059643,0.992,0.9995823041548687,"[[494, 1], [7, 496]]"
LightGBM,0.9919839679358717,0.9940119760479041,0.9900596421471173,0.9920318725099602,0.9996144346044942,"[[492, 3], [5, 498]]"
CatBoost,0.9939879759519038,0.9960079840319361,0.9920477137176938,0.9940239043824701,0.9998554129766855,"[[493, 2], [4, 499]]"
