iter	Logloss
0	0.6129816268
1	0.5361454028
2	0.483461138
3	0.4302282676
4	0.3945944875
5	0.3628598594
6	0.333427471
7	0.307750496
8	0.2867363691
9	0.2717487533
10	0.2575646734
11	0.2431318468
12	0.2289330982
13	0.2201356619
14	0.2114602229
15	0.2022390639
16	0.1910867116
17	0.1825562067
18	0.1799992393
19	0.1720376477
20	0.1651244254
21	0.1606623497
22	0.1538821416
23	0.1472729938
24	0.142757326
25	0.1358448076
26	0.1310136502
27	0.1293057696
28	0.1268185398
29	0.123432959
30	0.118799101
31	0.1160438609
32	0.1131774427
33	0.1105470814
34	0.1070451047
35	0.1048226939
36	0.1032815461
37	0.1012787077
38	0.09881576399
39	0.09635135419
40	0.09383291862
41	0.09259453201
42	0.09008081757
43	0.08821303745
44	0.08716442862
45	0.08586044212
46	0.08268528653
47	0.08099735019
48	0.07976687187
49	0.07797565287
50	0.07551615915
51	0.07441280781
52	0.07311261982
53	0.07221655896
54	0.06995928117
55	0.06822318674
56	0.06695082925
57	0.06559995776
58	0.06412005247
59	0.06281454606
60	0.06196632232
61	0.06123660882
62	0.06036614791
63	0.05923594218
64	0.05824419381
65	0.05721850322
66	0.05650524057
67	0.05488633093
68	0.0541272621
69	0.05341635968
70	0.05178658203
71	0.05094234389
72	0.04989576323
73	0.04909872402
74	0.04848229074
75	0.04758711032
76	0.04717532044
77	0.04614353617
78	0.0454069166
79	0.0449396262
80	0.04378285797
81	0.04343319225
82	0.04307855742
83	0.04261199364
84	0.04190924764
85	0.04158250389
86	0.04121209479
87	0.04055520255
88	0.0398984504
89	0.03924517712
90	0.03893288559
91	0.03879168279
92	0.037876791
93	0.03759229885
94	0.03705960342
95	0.03635610057
96	0.03622431077
97	0.03565742642
98	0.03541317506
99	0.03494479948
